Feature,Mean,Stdv,P-val
Intercept,0.32988328,0.023941517,3.4232393260164484e-43
BT,-0.31293353,0.029888384,1.185530597158732e-25
BU,-0.006488208,0.021680128,0.7647341761071349
PV,0.01090331,0.024577403,0.6573090276556618
CA,0.0009799082,0.020123743,0.9611630538831615
CH,-0.00641455,0.0202789,0.751762322142143
CS,-0.01844629,0.0241238,0.44447932017959413
DP,-0.052694466,0.029980913,0.07881552070784086
EL,0.11084741,0.03633993,0.002286187821680613
PC,-0.31479654,0.033700544,9.543487851845632e-21
BT x BU,-0.0028547554,0.029721677,0.9234811741249876
BT x PV,-0.008872834,0.03239674,0.784176494518699
BT x CA,0.010293857,0.035289884,0.7705203803630448
BT x CH,-0.0028662765,0.029540239,0.9227029143415286
BT x CS,0.00036369372,0.032693338,0.9911241972084202
BT x DP,0.009800081,0.036112003,0.7860986625757911
BT x EL,-0.0024161239,0.031942412,0.9397055178125553
BT x PC,0.283246,0.07535008,0.00017054812567906692
BU x PV,0.0,1.0012994,1.0
BU x CA,-0.0058550746,0.03324447,0.8601982772160068
BU x CH,-0.16468072,0.08748584,0.05978581307036352
BU x CS,-0.0119830435,0.043895155,0.7848590559124505
BU x DP,-0.25454345,0.072615035,0.0004559520537064038
BU x EL,-0.16743824,0.06358825,0.008459368531388949
BU x PC,-0.0015339208,0.040241115,0.9695934029258118
PV x CA,-0.121236786,0.06581025,0.0654433496287118
PV x CH,-0.30817732,0.095502235,0.0012513382468773006
PV x CS,0.016364807,0.03918324,0.6762043967542539
PV x DP,-0.2579438,0.09532283,0.006809858756224769
PV x EL,0.10632946,0.0606992,0.07981781135602652
PV x PC,-0.0048167203,0.041564308,0.9077429127334478
CA x CH,0.0034267667,0.032574777,0.9162195404291398
CA x CS,-0.00089172815,0.032270703,0.9779550634256972
CA x DP,-0.15947469,0.06046858,0.008356524299914576
CA x EL,0.017291477,0.048920564,0.7237433998259016
CA x PC,-0.0028989068,0.04046124,0.9428832183614706
CH x CS,0.03844646,0.059283387,0.5166486840666382
CH x DP,-0.030859455,0.041563313,0.45780347231603236
CH x EL,-0.17242254,0.063454054,0.006582053610685407
CH x PC,-0.0024328774,0.03021384,0.9358221344996209
CS x DP,-0.021306215,0.037795193,0.5729391540261717
CS x EL,0.3408783,0.06697857,3.592663117275722e-07
CS x PC,0.00060070195,0.040329218,0.9881159834294275
DP x EL,-0.007124974,0.04269762,0.8674719298876543
DP x PC,0.013801782,0.035636693,0.6985405344585816
EL x PC,-0.0065837204,0.042894654,0.8780151838020912
