Condition,Replicates,Day,CD,BT,BU,PV,CA,CH,CS,DP,EL,PC,CD abs end
CD-BT_1,1,35,1,1,0,0,0,0,0,0,0,0,0.000355445
CD-BT_2,2,35,1,1,0,0,0,0,0,0,0,0,0.000720622
CD-BT_3,3,35,1,1,0,0,0,0,0,0,0,0,0.000173153
CD-BU_1,1,35,1,0,1,0,0,0,0,0,0,0,0.422872974
CD-BU_2,2,35,1,0,1,0,0,0,0,0,0,0,0.342751375
CD-BU_3,3,35,1,0,1,0,0,0,0,0,0,0,0.356416267
CD-PV_1,1,35,1,0,0,1,0,0,0,0,0,0,0.502086535
CD-CA_1,1,35,1,0,0,0,1,0,0,0,0,0,0.364083793
CD-CA_3,3,35,1,0,0,0,1,0,0,0,0,0,0.343449115
CD-CH_1,1,28,1,0,0,0,0,1,0,0,0,0,0.341247915
CD-CH_2,2,28,1,0,0,0,0,1,0,0,0,0,0.340600009
CD-CH_3,3,28,1,0,0,0,0,1,0,0,0,0,0.367299999
CD-CS_1,1,35,1,0,0,0,0,0,1,0,0,0,0.282366676
CD-CS_3,3,35,1,0,0,0,0,0,1,0,0,0,0.176016482
CD-DP_1,1,35,1,0,0,0,0,0,0,1,0,0,0.269942737
CD-DP_2,2,35,1,0,0,0,0,0,0,1,0,0,0.365258301
CD-EL_1,1,35,1,0,0,0,0,0,0,0,1,0,0.486979097
CD-EL_2,2,35,1,0,0,0,0,0,0,0,1,0,0.493352992
CD-PC_1,1,35,1,0,0,0,0,0,0,0,0,1,0
CD-PC_2,2,35,1,0,0,0,0,0,0,0,0,1,0
CD-PC_3,3,35,1,0,0,0,0,0,0,0,0,1,0
CD-BT-PV_1,1,35,1,1,0,1,0,0,0,0,0,0,0
CD-BT-PV_2,2,35,1,1,0,1,0,0,0,0,0,0,0
CD-BT-PV_3,3,35,1,1,0,1,0,0,0,0,0,0,0.000185548
CD-BT-EL_1,1,35,1,1,0,0,0,0,0,0,1,0,0.145693153
CD-BT-EL_2,2,35,1,1,0,0,0,0,0,0,1,0,0
CD-BT-EL_3,3,35,1,1,0,0,0,0,0,0,1,0,0.213516792
CD-BU-BT_1,1,35,1,1,1,0,0,0,0,0,0,0,0.000167438
CD-BU-BT_2,2,35,1,1,1,0,0,0,0,0,0,0,0
CD-BU-PV_2,2,35,1,1,1,0,0,0,0,0,0,0,0.0001304
CD-BU-EL_1,1,35,1,0,1,0,0,0,0,0,1,0,0.249730648
CD-BU-EL_2,2,35,1,0,1,0,0,0,0,0,1,0,0.240763148
CD-BU-EL_3,3,35,1,0,1,0,0,0,0,0,1,0,0.263773668
CD-PV-EL_1,1,35,1,0,0,1,0,0,0,0,1,0,0.5996276
CD-PV-EL_2,2,35,1,0,0,1,0,0,0,0,1,0,0.851560308
CD-PV-EL_3,3,35,1,0,0,1,0,0,0,0,1,0,0.284526078
CD-CA-BT_2,2,35,1,1,0,0,1,0,0,0,0,0,0.04052551
CD-CA-BT_3,3,35,1,1,0,0,1,0,0,0,0,0,0.072662756
CD-CA-BU_1,1,14,1,0,1,0,1,0,0,0,0,0,0.355669076
CD-CA-BU_2,2,14,1,0,1,0,1,0,0,0,0,0,0.243920864
CD-CA-PV_1,1,35,1,0,0,1,1,0,0,0,0,0,0.156123962
CD-CA-PV_2,2,35,1,0,0,1,1,0,0,0,0,0,0.229204133
CD-CA-CH_1,1,35,1,0,0,0,1,1,0,0,0,0,0.33180767
CD-CA-CH_2,2,35,1,0,0,0,1,1,0,0,0,0,0.346930462
CD-CA-CS_1,1,35,1,0,0,0,1,0,1,0,0,0,0.28613169
CD-CA-CS_2,2,35,1,0,0,0,1,0,1,0,0,0,0.33077033
CD-CA-EL_3,3,35,1,0,0,0,1,0,0,0,1,0,0.508514067
CD-CA-PC_2,2,35,1,0,0,0,1,0,0,0,0,1,0
CD-CH-BT_1,1,35,1,1,0,0,0,1,0,0,0,0,0
CD-CH-BT_2,2,35,1,1,0,0,0,1,0,0,0,0,0.000136371
CD-CH-BT_3,3,35,1,1,0,0,0,1,0,0,0,0,0
CD-CH-BU_2,2,35,1,0,1,0,0,1,0,0,0,0,0.110387225
CD-CH-PV_1,1,35,1,0,0,1,0,1,0,0,0,0,0
CD-CH-EL_1,1,35,1,0,0,0,0,1,0,0,1,0,0.209007539
CD-CH-EL_2,2,35,1,0,0,0,0,1,0,0,1,0,0.226487939
CD-CH-EL_3,3,35,1,0,0,0,0,1,0,0,1,0,0.304955046
CD-CS-BT_2,2,35,1,1,0,0,0,0,1,0,0,0,0
CD-CS-BT_3,3,35,1,1,0,0,0,0,1,0,0,0,0.000184584
CD-CS-BU_3,3,7,1,0,1,0,0,0,1,0,0,0,0.248527706
CD-CS-PV_1,1,35,1,0,0,1,0,0,1,0,0,0,0.001864636
CD-CS-PV_2,2,35,1,0,0,1,0,0,1,0,0,0,0.744871136
CD-CS-CH_2,2,14,1,0,0,0,0,1,1,0,0,0,0.40590203
CD-CS-EL_1,1,35,1,0,0,0,0,0,1,0,1,0,0.748693921
CD-CS-EL_2,2,35,1,0,0,0,0,0,1,0,1,0,0.702332273
CD-CS-EL_3,3,35,1,0,0,0,0,0,1,0,1,0,0.863380421
CD-DP-BT_1,1,35,1,1,0,0,0,0,0,1,0,0,0
CD-DP-BT_3,3,35,1,1,0,0,0,0,0,1,0,0,0.000373286
CD-DP-BU_1,1,35,1,0,1,0,0,0,0,1,0,0,0
CD-DP-BU_2,2,35,1,0,1,0,0,0,0,1,0,0,0.000165056
CD-DP-PV_3,3,35,1,0,0,1,0,0,0,1,0,0,0
CD-DP-CA_1,1,35,1,0,0,0,1,0,0,1,0,0,0.133806108
CD-DP-CA_2,2,35,1,0,0,0,1,0,0,1,0,0,0.098069018
CD-DP-CA_3,3,35,1,0,0,0,1,0,0,1,0,0,0.075865327
CD-DP-CH_1,1,35,1,0,0,0,0,1,0,1,0,0,0.233391989
CD-DP-CH_2,2,35,1,0,0,0,0,1,0,1,0,0,0.265792756
CD-DP-CH_3,3,35,1,0,0,0,0,1,0,1,0,0,0.125440837
CD-DP-CS_1,1,35,1,0,0,0,0,0,1,1,0,0,0.155965282
CD-DP-CS_2,2,35,1,0,0,0,0,0,1,1,0,0,0.177529353
CD-DP-CS_3,3,35,1,0,0,0,0,0,1,1,0,0,0.289071694
CD-DP-EL_1,1,35,1,0,0,0,0,0,0,1,1,0,0.351993698
CD-DP-PC_1,1,35,1,0,0,0,0,0,0,1,0,1,0.000110965
CD-DP-PC_2,2,35,1,0,0,0,0,0,0,1,0,1,0
CD-DP-PC_3,3,35,1,0,0,0,0,0,0,1,0,1,0
CD-PC-BT_1,1,35,1,1,0,0,0,0,0,0,0,1,0
CD-PC-BT_3,3,35,1,1,0,0,0,0,0,0,0,1,0
CD-PC-BU_3,3,35,1,0,1,0,0,0,0,0,0,1,0
CD-PC-PV_3,3,14,1,0,0,1,0,0,0,0,0,1,0.000573562
CD-PC-CH_1,1,35,1,0,0,0,0,1,0,0,0,1,0
CD-PC-CH_2,2,35,1,0,0,0,0,1,0,0,0,1,0
CD-PC-CH_3,3,35,1,0,0,0,0,1,0,0,0,1,0
CD-PC-CS_1,1,14,1,0,0,0,0,0,1,0,0,1,0
CD-PC-EL_2,2,35,1,0,0,0,0,0,0,0,1,1,0.092878696
CD mono_1,1,35,1,0,0,0,0,0,0,0,0,0,0.325333342
